WORD,LENGTH,FREQUENCY,POS,CONCRETENESS,IMAGEABILITY,PICTURE
essay,5,6.14,NN|VB,527,564,NO
morphine,8,6.49,NN,580,550,NO
bench,5,9.67,NN,614,555,NO
prince,6,45.08,NN,542,606,NO
surf,4,6.35,NN|VB,527,601,NO
juice,5,26.88,NN,599,593,NO
beard,5,12.61,NN,580,630,YES
novel,5,10.06,NN,529,547,NO
hostage,7,14.57,NN,526,536,NO
cord,4,7.02,NN,564,549,NO
battle,6,42.25,NN|VB,564,597,NO
weed,4,11.76,NN|VB,600,596,NO
toast,5,33.47,NN|VB,582,594,NO
nurse,5,44.98,NN|VB,588,617,NO
cell,4,54.35,NN,542,590,NO
spike,5,12.25,NN|VB,572,573,NO
soup,4,25.2,NN|VB,615,604,NO
reed,4,9.1,NN,564,520,NO
rock,4,86.16,NN|VB,600,612,YES
king,4,129.25,NN,559,585,NO
parade,6,12.88,NN|VB,523,578,NO
cottage,7,5.29,NN,593,607,NO
spot,4,61.57,NN|VB,512,507,NO
cent,4,9.47,NN,544,518,NO
city,4,169.1,NN,554,605,NO
salad,5,17.02,NN,595,623,YES
stake,5,16.61,NN|VB,540,506,NO
brass,5,12.12,NN,577,524,NO
pound,5,13.88,NN|VB,515,553,NO
toad,4,5.69,NN,568,591,NO
kiss,4,121.16,NN|VB,564,633,NO
meat,4,43.65,NN,587,618,NO
tobacco,7,6.98,NN,609,601,NO
stick,5,97.12,NN|VB,604,517,NO
dollar,6,27.65,NN,575,611,NO
prisoner,8,23.14,NN,548,565,NO
earth,5,99.49,NN|VB,580,580,NO
land,4,88.12,NN|VB,604,566,NO
plug,4,10.41,NN|VB,558,583,NO
bedroom,7,36.71,NN,615,629,NO
mirror,6,24.18,NN|VB,605,627,YES
pony,4,8.1,NN,611,642,NO
monk,4,7.37,NN,570,606,NO
laundry,7,19.06,NN,576,559,NO
tomb,4,5.63,NN,573,596,NO
spice,5,5.29,NN|VB,590,592,NO
cloth,5,6.1,NN,580,547,NO
fruit,5,21.73,NN,612,587,NO
prison,6,66.04,NN,570,593,NO
automobile,10,5.71,NN,607,628,NO
aisle,5,7.43,NN,509,528,NO
aspirin,7,7.75,NN,574,542,NO
throne,6,8.65,NN,-,-,NO
gate,4,32.04,NN|VB,573,545,NO
chart,5,9.47,NN|VB,532,531,NO
stain,5,6.2,NN|VB,535,533,NO
coach,5,47.63,NN|VB,561,560,NO
milk,4,42.53,NN|VB,670,638,YES
animal,6,45.49,NN,587,575,NO
rabbi,5,6.71,NN,572,557,NO
babe,4,35.57,NN,562,562,NO
package,7,22.78,NN,580,529,NO
stove,5,7.59,NN,591,592,NO
thread,6,5.16,NN|VB,607,568,NO
alcohol,7,16.57,NN,618,598,NO
ambassador,10,13.51,NN,546,545,NO
cotton,6,14.18,NN|VB,608,562,NO
camp,4,51.22,NN|VB,571,588,NO
path,4,24.55,NN,504,537,NO
farm,4,30.04,NN|VB,565,560,NO
dirt,4,25.69,NN,564,547,NO
